Company,Project,Cost,URL,rate_card_id
BetterGov,Education Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/482838106204027,BetterGov_482838106204027-sfia-rate-card-2024-02-27-1350.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging Cyber Security Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/122214928323934,SpartaGlobalLimited(formerlyTestingCircleLimited)_122214928323934-sfia-rate-card-2022-05-12-1210.pdf
Ten10 Solutions Limited,Test Automation,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/907316797372341,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
CREDERA LIMITED,Azure HDInsight,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/392187060348797,n/a
Capgemini UK plc,Oracle Cloud Infrastructure High Performance Compute,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/447676683998154,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Sparta Global Limited (formerly Testing Circle Limited),Emerging Data Engineering and Analysis Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/705366416144875,SpartaGlobalLimited(formerlyTestingCircleLimited)_705366416144875-sfia-rate-card-2022-05-12-1129.pdf
FDM GROUP,Managed Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/835546094952986,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Slalom Consulting,Mulesoft Integration Platform Implementation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/203407770095262,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
BetterGov,Managed Cloud Services,0.05 a transaction,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/688910195797043,n/a
CREDERA LIMITED,Cloud Programme/Project Management Service,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/368073902452163,n/a
Ten10 Solutions Limited,Quality and Test Strategy Consultancy,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/734105659984821,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
BetterGov,ERP Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/874095516862283,BetterGov_482838106204027-sfia-rate-card-2024-02-27-1350.pdf
Slalom Consulting,Change Acceleration,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/581758816893129,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
FDM GROUP,Cloud Project/Programme Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/845018788210852,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Tata Consultancy Services Limited,TCS Digital Energy Operations - TCS iON,"24,000 a unit a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/302616284901164,TataConsultancyServicesLimited_302616284901164-sfia-rate-card-2022-05-16-1622.pdf
Capgemini UK plc,Log and Refer Service Desk - On-Shore,14.77 a unit a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/319422895610646,CapgeminiUKplc_319422895610646-sfia-rate-card-2022-05-14-1200.pdf
CREDERA LIMITED,Marketing Cloud Optimisation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/965749373726792,n/a
FDM GROUP,ERP/CRM SERVICES,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/422025917236916,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Ten10 Solutions Limited,Operational Acceptance Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/490842007461740,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
BetterGov,Microsoft Cloud Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/659338398420778,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Slalom Consulting,Future of Work (Ethos),"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/804433076911938,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Clever Energy™ for Energy and Emission Management,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/848899078978335,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
Capgemini UK plc,Solution Selection Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/609201653347265,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CREDERA LIMITED,Data Warehouse Reengineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/669645112342426,n/a
Slalom Consulting,Customer Experience Strategy,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/783972400803108,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
FDM GROUP,Cloud Application Development & Architecture Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/203063105535815,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Ten10 Solutions Limited,Desktop Migration Application Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/284266089144111,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
BetterGov,Delivery Partner Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/406851652750305,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Capgemini UK plc,Next Generation AM (Applications Management),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/929978376088640,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Tata Consultancy Services Limited,TCS AWS Cloud Management and Reseller Services,0.01 a unit a second,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/985609982936790,TataConsultancyServicesLimited_985609982936790-sfia-rate-card-2022-05-16-1630.pdf
CREDERA LIMITED,"Cloud Data Platform Governance, Privacy & Ethics","510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/419336927845711,n/a
Capgemini UK plc,Cybersecurity - Managed Security Service (MSS) Vulnerability Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/981870801165322,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
FDM GROUP,IT Service Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/210424676430198,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Ten10 Solutions Limited,Outsourced / Managed Test Service,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/462022862962309,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
BetterGov,BetterGov Cloud Migration and Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/182297774775944,BetterGov_482838106204027-sfia-rate-card-2024-02-27-1350.pdf
Slalom Consulting,Case for Change,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/753846599738722,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Student Experience (Administration) Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/725289452312988,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
CREDERA LIMITED,Portfolio Management,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/266627339597065,n/a
Slalom Consulting,Cloud Inspired Business Change,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/845893900859633,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
FDM GROUP,Cloud Information Security Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/549994466749635,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
Tata Consultancy Services Limited,TCS Azure Migration Factory,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/982934272754244,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
BetterGov,Information and Data Architecture Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/498052916038929,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Ten10 Solutions Limited,Mobile Compatibility Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/630629667302185,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
Capgemini UK plc,SAP API Management Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/978545627369400,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CREDERA LIMITED,Cloud Partner Specific - AWS,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/772907687278493,n/a
Cognizant Worldwide Limited,Azure Custom Application Development,"7,066 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/666113188308650,CognizantWorldwideLimited_666113188308650-sfia-rate-card-2022-05-12-1448.pdf
Ten10 Solutions Limited,Performance Testing and Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/394234077541210,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
BetterGov,"Analytics, Data Management and Visualisation for Local Government and Health",275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/725669617955217,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Capgemini UK plc,Test Environment Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/951673275233003,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Slalom Consulting,GDS/CDDO - Discovery Phase service,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/880719718774162,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Tata Consultancy Services Limited,TCS Microsoft DevOps Strategy,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/563341980817853,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
CREDERA LIMITED,Cloud Partner Specific - Azure,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/709092262357569,n/a
Ten10 Solutions Limited,ERP / CRM Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/478942225603079,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
Capgemini UK plc,Functional Test Automation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/367928679584392,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Tata Consultancy Services Limited,TCS Cyber Security - Data privacy and protection (DPP),127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/948846575642813,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
CREDERA LIMITED,Cloud Vendor Management Service,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/802635179060332,n/a
BetterGov,Transformation Delivery Partner,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/778591591261404,BetterGov_792740071974263-sfia-rate-card-2024-02-27-1345.pdf
Slalom Consulting,Cloud Services Audit and Health Check,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/700865353555039,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
Cognizant Worldwide Limited,"Research tools for Population Health, Business and Clinical Intelligence","400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/444641860512457,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Ten10 Solutions Limited,User Acceptance Testing (UAT),"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/236252938746415,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
Cognizant Worldwide Limited,Oracle PaaS Setup & Migration Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/942862885693438,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CREDERA LIMITED,Data and Analytics Operating Models,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/769326846001992,n/a
BetterGov,BetterGov Team-as-a-Service,250.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/118266376205487,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
Capgemini UK plc,Face to Face Transformation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/391910801186727,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Tata Consultancy Services Limited,"TCS Intelligent Process Automaton (IPA) Services for the NHS, Health, and Social Care",127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/733598147713589,TataConsultancyServicesLimited_884181027233206-sfia-rate-card-2022-05-16-1701.pdf
