,Company,Project,Cost,URL,base_price,max_price
55,Capgemini UK plc,IRM Incident Response Exercising,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/988291603993754,650.0,1250.0
56,Capgemini UK plc,Oracle Intelligent Supply Chain – Procurement (Source to Settle),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/261104747528655,312.0,N/A
57,Capgemini UK plc,SAP Data Cloud,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/180722145074696,312.0,N/A
58,Capgemini UK plc,Archive Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/530687833721944,312.0,N/A
59,Capgemini UK plc,Oracle Cloud Human Capital Management (HCM) Advisory Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/347178500480002,312.0,N/A
60,Capgemini UK plc,Agile Business Analysis and Product Ownership,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/669275057396454,312.0,N/A
61,Capgemini UK plc,ITSM/ITIL compliant Service Desk solutions with Atlassian JIRA Service Desk,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/948165297778088,312.0,N/A
62,Capgemini UK plc,CQRS and Event Sourcing Architecture Assessment Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/248797260706849,312.0,N/A
63,Capgemini UK plc,Information Security Management System (ISMS),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/841073705801804,312.0,N/A
64,Capgemini UK plc,IRM Data Protection Assessment,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/523053717977362,650.0,1250.0
65,Capgemini UK plc,AWS –  Cloud Migration Services and Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/954310482253957,312.0,N/A
66,Capgemini UK plc,IRM Infrastructure Assessment,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/472949206069312,650.0,1250.0
67,Capgemini UK plc,Digital Strategy and Roadmap Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/609292332669031,312.0,N/A
68,Capgemini UK plc,Programme Management Office,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/849212568461777,312.0,N/A
69,Capgemini UK plc,Big Data Analytics Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/125428295985287,312.0,N/A
70,Capgemini UK plc,Microsoft Dynamics 365 Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/295896247897233,312.0,N/A
71,Capgemini UK plc,Application Management (AM) Service Automation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/521656763233118,312.0,N/A
72,Capgemini UK plc,IRM Cyber Risk Assessment,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/645203141445747,650.0,1250.0
73,Capgemini UK plc,Cybersecurity - Security and Regulatory Assurance - Run Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/561484642222711,312.0,N/A
74,Capgemini UK plc,Oracle Digital Customer Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/425603464508403,312.0,N/A
75,Capgemini UK plc,Enterprise Content Management (ECM),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/346619634877537,312.0,N/A
76,Capgemini UK plc,Oracle Cloud Native Platform Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/812315268578717,312.0,N/A
77,Capgemini UK plc,"CA Gen Support, Upgrade and Migration Services Supporting the journey to the Cloud",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/180544977078909,312.0,N/A
78,Capgemini UK plc,Programme Assurance Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/811589594101729,312.0,N/A
79,Capgemini UK plc,Dynamic Portfolio Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/197781819516279,312.0,N/A
80,Capgemini UK plc,IRM Cyber Security Awareness Programme & Training Programme,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/822034716712474,650.0,1250.0
81,Capgemini UK plc,SAP Mobile Application Cloud Service on SAP Business Technology Platform,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/504689423287989,312.0,N/A
82,Capgemini UK plc,SAP Commerce Cloud,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/877421452132131,312.0,N/A
83,Capgemini UK plc,Test and Process Automation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/365140254723185,312.0,N/A
84,Capgemini UK plc,Business Architecture Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/411810648605932,312.0,N/A
85,Capgemini UK plc,Agile Transformation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/855759222921104,312.0,N/A
86,Capgemini UK plc,Cloud Focused Application & Technology Rationalisation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/690888459579939,312.0,N/A
87,Capgemini UK plc,Cyber Crisis and Incident Exercises,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/626436154476174,312.0,N/A
88,Capgemini UK plc,IRM PCI DSS QSA Compliance Service,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/981421730092930,650.0,1250.0
89,Capgemini UK plc,Agile Project and Programme Management (PPM) Solutions,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/341356120411913,312.0,N/A
90,Capgemini UK plc,"AI, ML & Data-Science Services (DSaaS)",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/534284831440670,312.0,N/A
91,Capgemini UK plc,Effective Information Delivery Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/343452723242915,312.0,N/A
92,Capgemini UK plc,Employee Engagement through the New Change Deal,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/106374360756203,312.0,N/A
93,Capgemini UK plc,Digital Service Management Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/681279270787506,312.0,N/A
94,Capgemini UK plc,Cybersecurity - Managed Security Service (MSS) End Point Security as a Service (EPSaaS),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/531752138581154,312.0,N/A
95,Capgemini UK plc,Performance Testing,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/240011595141086,312.0,N/A
96,Capgemini UK plc,Information Risk Management Lifecycle Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/457888232240983,312.0,N/A
97,Capgemini UK plc,User Acceptance Testing (UAT) Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/450748081050111,312.0,N/A
98,Capgemini UK plc,Customer Contact Centre Transformation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/659768055133624,312.0,N/A
99,Capgemini UK plc,Connected Office,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/353404079012724,312.0,N/A
100,Capgemini UK plc,Locational Intelligence and GIS Architecture & Solutions,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/931519443736256,312.0,N/A
101,Capgemini UK plc,Oracle Cloud Security Assessment,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944111390477905,312.0,N/A
102,Capgemini UK plc,Data Science and AI: Border and Passenger Analytics Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/612394665755426,312.0,N/A
103,Capgemini UK plc,Integrated Business Planning Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/373244431195163,312.0,N/A
104,Capgemini UK plc,Agile Digital Architecture Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/711457783885128,312.0,N/A
105,Capgemini UK plc,Identity and Access Management FastTrack Services ( IAM / IDAM ),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/117108255822347,312.0,N/A
106,Capgemini UK plc,"Claims, Grants, Funds & Payments Administration with AM, Development & Project Cloud Services",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/355578068312593,312.0,N/A
107,Capgemini UK plc,Managed Test Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/590971935097698,312.0,N/A
108,Capgemini UK plc,Cybersecurity Maturity Assessment & Security Strategy Development,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/902227051326241,312.0,N/A
109,Capgemini UK plc,IRM Vulnerability Scanning,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/940740502493184,650.0,1250.0
110,Capgemini UK plc,Heroku advisory and implementation cloud services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/639162102135136,312.0,N/A
111,Capgemini UK plc,IRM Security Maturity Assessment,"650.00 to 1,250.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/518840434621060,650.0,1250.0
112,Capgemini UK plc,Oracle Integration Cloud Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/376967405915054,312.0,N/A
113,Capgemini UK plc,Application Development and Maintenance Advisory Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/140230479612479,312.0,N/A
114,Capgemini UK plc,Supply Chain and Logistics Network Design and Optimisation,333 a person a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/402079584173183,333.0,N/A
115,Capgemini UK plc,Cloud QA,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/621413764525426,312.0,N/A
116,Capgemini UK plc,Mobile Testing Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/789886058188790,312.0,N/A
117,Capgemini UK plc,Cloud and Data Centre Strategy and Assessment Services,333 a person a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/763552961782146,333.0,N/A
118,Capgemini UK plc,Cybersecurity - Cyber Defence Maturity Evaluation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/443842823397358,312.0,N/A
119,Capgemini UK plc,Salesforce Field Service advisory and implementation services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/610232567017502,312.0,N/A
120,Capgemini UK plc,IRM Technical Assurance Services,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/600589190000001,650.0,1250.0
121,Capgemini UK plc,Enterprise Transformation through Agile Enablement – enabling organisations to become Agile,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/936947036334672,312.0,N/A
122,Capgemini UK plc,Social Media Citizen Engagement Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/307323775170277,312.0,N/A
123,Capgemini UK plc,Business Analysis Consulting Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/975681443267182,312.0,N/A
124,Capgemini UK plc,Stakeholder and Communication Management Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/773755240481495,312.0,N/A
125,Capgemini UK plc,Cybersecurity - Managed Security Service (MSS) Security Information and Event Management (SIEM),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/603098072852849,312.0,N/A
126,Capgemini UK plc,Digital Enterprise Architecture Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/564555623728375,312.0,N/A
127,Capgemini UK plc,Agile Digital Cloud Solution,312 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/344721336046524,312.0,N/A
128,Capgemini UK plc,Procurement Process Assessment Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/676780523896694,312.0,N/A
129,Capgemini UK plc,Microsoft Cloud Advisory Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/490058630586670,312.0,N/A
130,Capgemini UK plc,Portfolio Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/453264133601764,312.0,N/A
131,Capgemini UK plc,Digital Transformation Office Service (DTO),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/585629145029708,312.0,N/A
132,Capgemini UK plc,Oracle Intelligent Supply Chain – Product Lifecycle Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/966341710661751,312.0,N/A
133,Capgemini UK plc,Data Science and AI: Healthcare Analytics,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/236576258494272,312.0,N/A
134,Capgemini UK plc,Data Quality Centre of Excellence,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/250908484009037,312.0,N/A
135,Capgemini UK plc,Office / Microsoft 365 (O365 / M365) Transformation & Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/895340328697336,312.0,N/A
136,Capgemini UK plc,Architecture Health Check,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/629092514948606,312.0,N/A
137,Capgemini UK plc,Stakeholder Engagement Planning and Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/701115531559164,312.0,N/A
138,Capgemini UK plc,SAP Cloud Migration Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/951993869281546,312.0,N/A
139,Capgemini UK plc,Oracle Intelligent Supply Chain - Inventory & Cost Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/855616257728769,312.0,N/A
140,Capgemini UK plc,SAP Marketing Cloud,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/377028708851834,312.0,N/A
141,Capgemini UK plc,Artificial Intelligence (AI) and Generative Artificial Intelligence (GenAI) Advisory Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/961747096932646,312.0,N/A
142,Capgemini UK plc,Legacy Modernisation using Digital UIs,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/618145872705993,312.0,N/A
143,Capgemini UK plc,Website (Digital) and Mobile Optimisation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/270686207131398,312.0,N/A
144,Capgemini UK plc,Cloud ERP Advisory Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/615321746024533,312.0,N/A
145,Capgemini UK plc,IRM Cyber Incident Response Service,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/830159074864938,650.0,1250.0
146,Capgemini UK plc,HM Treasury 5 case model green book business case development and benefits realisation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/212271124297162,312.0,N/A
147,Capgemini UK plc,SAP Service Cloud,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/199577484323165,312.0,N/A
148,Capgemini UK plc,Lean Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/308125266175549,312.0,N/A
149,Capgemini UK plc,Digital QA and Test Assurance,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/634165218949757,312.0,N/A
150,Capgemini UK plc,SAP HCM SuccessFactors Cloud Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/331112565869684,312.0,N/A
151,Capgemini UK plc,Business Operations Centre Support,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/665334702625661,312.0,N/A
152,Capgemini UK plc,Secure Software Supply Chain,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/129595128169647,312.0,N/A
153,Capgemini UK plc,"Salesforce Marketing Cloud advisory, implementation and support services",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/814138509393505,312.0,N/A
154,Capgemini UK plc,SAP Ariba Cloud Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/635864792628263,312.0,N/A
155,Capgemini UK plc,Oracle Cloud Human Capital Management (HCM) Implementation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/825193817350486,312.0,N/A
156,Capgemini UK plc,Digital Employee Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/273964627894180,312.0,N/A
157,Capgemini UK plc,"Database Transformation, Migration and Support Service",312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/665207655691975,312.0,N/A
158,Capgemini UK plc,Cloud IT Portfolio Analysis,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/326669067668347,312.0,N/A
159,Capgemini UK plc,Workday Financials ERP Implementation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/731854299722476,312.0,N/A
160,Capgemini UK plc,IT Performance Improvement Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/387982703565039,312.0,N/A
161,Capgemini UK plc,Logistics Operating Model Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/574556592798785,312.0,N/A
