,Company,Project,Cost,URL,rate_card_id
18,Ten10 Solutions Limited,Functional Test Services,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/683453234211269,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
19,FDM GROUP,Cloud Data Science Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/793078506116862,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
20,Capgemini UK plc,Business Process Improvement Consulting Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/314149883965132,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
21,Sparta Global Limited (formerly Testing Circle Limited),Emerging Test Engineering and Test Analysis Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/729108061178591,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
22,Tata Consultancy Services Limited,TCS Front and Back Office Application Services -  TCS DigiGOV FRAMEWORKS,30 a user a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/197866363323700,
23,BetterGov,BetterGov 360,"5,000 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/466111547686900,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
24,FDM GROUP,Testing Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/677595267443768,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
25,Capgemini UK plc,Project Management Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/292956867795186,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
26,Slalom Consulting,Data Visualisation - Power BI,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/687139349214011,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
27,CREDERA LIMITED,CRM Strategy & Implementation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/334651074374614,
28,Ten10 Solutions Limited,Test Management and Leadership,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/442379899077615,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
29,Tata Consultancy Services Limited,TCS AWS Cloud Assessment Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/870506762140718,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
30,BetterGov,Data Platform and Analytics,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/792740071974263,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
31,CREDERA LIMITED,Marketing Cloud Implementation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/536446851853596,
32,Tata Consultancy Services Limited,TCS AWS Cloud Migration Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/165760872505307,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
33,Capgemini UK plc,Capgemini Training Services for Atlassian Systems,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/364940981752229,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
34,Ten10 Solutions Limited,Business Analysis Services,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/454471471729451,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
35,FDM GROUP,Cloud Project Support Office Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/972612185910286,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
36,Slalom Consulting,Project/Programme Management,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/587950568640371,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
37,Sparta Global Limited (formerly Testing Circle Limited),Emerging DevOps Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/556392738393829,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128.pdf
38,CREDERA LIMITED,GCP Dataproc/BigQuery,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/338949540870918,
39,FDM GROUP,Cloud Business Intelligence Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/153604262923778,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
40,Capgemini UK plc,Fraud and Error Prevention Service Design,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/704801680165711,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
41,Tata Consultancy Services Limited,TCS Cloud Support Services for Enterprise Solutions,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/152169826287483,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
42,CREDERA LIMITED,Azure HDInsight,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/392187060348797,
43,Slalom Consulting,Salesforce Platform - Custom Implementation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/319313199311403,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
44,Sparta Global Limited (formerly Testing Circle Limited),Emerging Business Analysis and Product Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/587424703234411,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
45,Ten10 Solutions Limited,DevOps Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/592358255033040,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
46,BetterGov,Education Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/482838106204027,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
47,CREDERA LIMITED,Cloud Programme/Project Management Service,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/368073902452163,
48,FDM GROUP,Cloud Business Analysis Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/826339085925665,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
49,Slalom Consulting,Product Ownership,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/163150731430389,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
50,Tata Consultancy Services Limited,TCS Blockchain-based Digital Identity Professional Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/865236150546201,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
51,BetterGov,Managed Cloud Services,0.05 a transaction,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/688910195797043,
52,Sparta Global Limited (formerly Testing Circle Limited),Emerging Software Engineering Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/623762746110782,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128.pdf
53,Capgemini UK plc,SYNERGi GRC,"22,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/287961848499408,
54,Ten10 Solutions Limited,Robotic Process Automation (RPA),"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/578995076756869,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
55,CREDERA LIMITED,Marketing Cloud Optimisation,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/965749373726792,
56,Slalom Consulting,Cloud FinOps and Cost Optimisation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/620405644963933,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
57,BetterGov,ERP Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/874095516862283,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
58,Ten10 Solutions Limited,Test and Quality Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/361265272241572,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
59,Sparta Global Limited (formerly Testing Circle Limited),"Emerging User Research, UX and UI Talent","250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/933059535080106,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
60,FDM GROUP,Cloud Engineering Service,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/626031224419842,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
61,Capgemini UK plc,Oracle Cloud Infrastructure High Performance Compute,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/447676683998154,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
62,Tata Consultancy Services Limited,TCS CloudStudio Cloud Consultancy and Support Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/428323650649853,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
63,CREDERA LIMITED,Data Warehouse Reengineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/669645112342426,
64,BetterGov,Microsoft Cloud Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/659338398420778,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
65,Sparta Global Limited (formerly Testing Circle Limited),Emerging PMO and Project Support Talent,"250 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/613005748325492,SpartaGlobalLimited(formerlyTestingCircleLimited)_362853140036139-sfia-rate-card-2022-05-12-1127.pdf
66,Slalom Consulting,Mulesoft Integration Platform Implementation,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/203407770095262,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
67,Ten10 Solutions Limited,Test Automation,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/907316797372341,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
68,FDM GROUP,Managed Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/835546094952986,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
69,Capgemini UK plc,Log and Refer Service Desk - On-Shore,14.77 a unit a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/319422895610646,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
70,Tata Consultancy Services Limited,TCS Digital Energy Operations - TCS iON,"24,000 a unit a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/302616284901164,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
71,Sparta Global Limited (formerly Testing Circle Limited),Emerging Cyber Security Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/122214928323934,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128.pdf
72,CREDERA LIMITED,Portfolio Management,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/266627339597065,
73,FDM GROUP,Cloud Project/Programme Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/845018788210852,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
74,Capgemini UK plc,Solution Selection Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/609201653347265,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
75,BetterGov,Delivery Partner Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/406851652750305,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
76,Slalom Consulting,Change Acceleration,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/581758816893129,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
77,Ten10 Solutions Limited,Quality and Test Strategy Consultancy,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/734105659984821,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
78,Tata Consultancy Services Limited,TCS Clever Energy™ for Energy and Emission Management,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/848899078978335,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
79,CREDERA LIMITED,"Cloud Data Platform Governance, Privacy & Ethics","510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/419336927845711,
80,FDM GROUP,ERP/CRM SERVICES,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/422025917236916,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
81,Slalom Consulting,Future of Work (Ethos),"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/804433076911938,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
82,BetterGov,BetterGov Cloud Migration and Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/182297774775944,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
83,Ten10 Solutions Limited,Operational Acceptance Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/490842007461740,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
84,Capgemini UK plc,Next Generation AM (Applications Management),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/929978376088640,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
85,Sparta Global Limited (formerly Testing Circle Limited),Emerging Data Engineering and Analysis Talent,"275 to 1,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/705366416144875,SpartaGlobalLimited(formerlyTestingCircleLimited)_556392738393829-sfia-rate-card-2022-05-12-1128.pdf
86,CREDERA LIMITED,Cloud Partner Specific - AWS,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/772907687278493,
87,FDM GROUP,Cloud Application Development & Architecture Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/203063105535815,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
88,Ten10 Solutions Limited,Desktop Migration Application Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/284266089144111,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
89,BetterGov,Information and Data Architecture Services,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/498052916038929,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
90,Slalom Consulting,Customer Experience Strategy,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/783972400803108,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
91,Capgemini UK plc,Cybersecurity - Managed Security Service (MSS) Vulnerability Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/981870801165322,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
92,Tata Consultancy Services Limited,TCS AWS Cloud Management and Reseller Services,0.01 a unit a second,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/985609982936790,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
93,Ten10 Solutions Limited,Outsourced / Managed Test Service,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/462022862962309,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
94,CREDERA LIMITED,Cloud Partner Specific - Azure,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/709092262357569,
95,Capgemini UK plc,SAP API Management Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/978545627369400,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
96,Tata Consultancy Services Limited,TCS Student Experience (Administration) Services,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/725289452312988,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
97,BetterGov,"Analytics, Data Management and Visualisation for Local Government and Health",275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/725669617955217,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
98,Slalom Consulting,Case for Change,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/753846599738722,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
99,FDM GROUP,IT Service Management Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/210424676430198,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
100,CREDERA LIMITED,Cloud Vendor Management Service,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/802635179060332,
101,Ten10 Solutions Limited,Mobile Compatibility Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/630629667302185,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
102,Capgemini UK plc,Test Environment Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/951673275233003,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
103,FDM GROUP,Cloud Information Security Services,290 to 600 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/549994466749635,FDMGROUP_896737949397803-sfia-rate-card-2022-05-16-1233.pdf
104,Tata Consultancy Services Limited,TCS Azure Migration Factory,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/982934272754244,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
105,BetterGov,Transformation Delivery Partner,275.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/778591591261404,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
106,Slalom Consulting,Cloud Inspired Business Change,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/845893900859633,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
107,CREDERA LIMITED,Data and Analytics Operating Models,"510.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/769326846001992,
108,Slalom Consulting,GDS/CDDO - Discovery Phase service,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/880719718774162,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
109,Tata Consultancy Services Limited,TCS Microsoft DevOps Strategy,127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/563341980817853,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
110,Ten10 Solutions Limited,Performance Testing and Engineering,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/394234077541210,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
111,Capgemini UK plc,Functional Test Automation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/367928679584392,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
112,CREDERA LIMITED,Cloud Low-Code Delivery Expertise Service,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/994276657911141,
113,BetterGov,BetterGov Team-as-a-Service,250.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/118266376205487,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
114,Slalom Consulting,Cloud Services Audit and Health Check,"636 to 1,938 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/700865353555039,SlalomConsulting_421429348332652-sfia-rate-card-2022-05-16-1437.pdf
115,Tata Consultancy Services Limited,TCS Cyber Security - Data privacy and protection (DPP),127 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/948846575642813,TataConsultancyServicesLimited_176274778092447-sfia-rate-card-2022-05-16-2303.pdf
116,Capgemini UK plc,Face to Face Transformation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/391910801186727,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
117,CREDERA LIMITED,Analytic Data Product Engineering,"375.00 to 2,195.00 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/894700298191344,
118,Ten10 Solutions Limited,ERP / CRM Testing,"285 to 1,155 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/478942225603079,Ten10SolutionsLimited_825658907067182-sfia-rate-card-2022-05-16-1516.pdf
119,BetterGov,Health and NHS Systems Support Services,250 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/147306071389571,BetterGov_118266376205487-sfia-rate-card-2024-02-27-1344.pdf
120,Infosys Limited,Oracle NetSuite Cloud Implementation and Support,"180 to 1,400 a person",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/743987123542774,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942.pdf
121,Capgemini UK plc,IRM Risk Reduction Programme,"650 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/436796596624971,
